seller_id,seller_city,seller_state,order_item_count,unique_order_count
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,2033,1854
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1987,1806
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1775,1706
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1931,1404
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1551,1314
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1499,1287
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1171,1160
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,1203,1146
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1156,1132
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1147,1080
